Title,Authors,Year,Publication,Citations,ScholarURL
Le scienze naturali e la filosofia della natura: alcune riflessioni epistemologiche,,2013,"Si può parlare oggi di una finalità dell'evoluzione?, 59-79, 2013",3,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1431362835946546983
Consciousness and the Global Neuronal Workspace Hypothesis: From Bottom-up to Top-down Causation and vice versa,,2013,"Brains Top Down: Is Top-down Causation Challenging Neuroscience?, 235-272, 2013",3,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7516464645923305034
Proximate–Ultimate Causation in Human Evolution? Implications from Archeology,,2026,"The Field of Human Evolution: Critical Perspectives from History and …, 2026",2,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6172935569949417040
Transforming the World: The Science and Theology of Human-Environment Complementarity,,2025,"Theology and Science 23 (4), 834-849, 2025",2,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13271145651187087349
"Rewriting the environment, remaking humanity: niche construction, creativity, and cultural evolution",,2024,"Versus 53 (1), 25-38, 2024",2,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3306751691410325008
Theology Looking at Culture through the Lenses of Science,,2017,"Issues in Science and Theology: Are We Special? Human Uniqueness in Science …, 2017",2,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17644298014600447581
New Concepts on the Motor System: Implications for Emotions and Credition,,2017,"Processes of Believing: The Acquisition, Maintenance, and Change in …, 2017",2,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11002446253462027224
The cultural evolution of language: Insights from recent hypothesis,,2016,"ESSSAT News and Reviews 26 (2), 5-18, 2016",2,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7307283776684758725
Functional equivalence between plant PRORP1 and bacterial RNase P Ribonucleic acid (RNA) raises questions on control and recognition mechanisms,,2011,"Journal of Computational Biology and Bioinformatics Research 3 (5), 63-64, 2011",2,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3189136927229931535
Sensus communis. An Aesthetic «Precursor» for Embodied Language and Cognition,,2023,"Reti, saperi, linguaggi 10 (1), 67-84, 2023",1,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11458262746141242426
I motivi della cultura dalla preistoria alle scoperte scientifiche,,2020,"Allargare gli orizzonti del pensiero. Scommettere sulla cultura tra …, 2020",1,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15179743731693533433
Educazione integrale tra ecologia e antropologia: prospettive bio-culturali,,2020,"Antonianum 95 (1), 51-69, 2020",1,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9439292542027583041
"La cura e la scienza: Prospettive biologiche, antropologiche e culturali.",,2016,"Antonianum, 1021-1042, 2016",1,"https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8790581495502545988,12270531085469783803"
"Il"" riutilizzo neurde culturale"": la cultura umana tra scienze naturali e teologia.",,2016,"Ricerche teologiche: a cura della Società Italiana per la Ricerca Teologica …, 2016",1,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3077440619918149287
"From distributed souls to relational, dynamical and distributed self-narratives",,2016,"Reti, saperi, linguaggi 3 (2), 253-260, 2016",1,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=537817097655404935
Culture between the sciences and theology:: Towards an integral and interdisciplinary anthropology.,,2015,"Antonianum, 733-756, 2015",1,"https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4740942609949166226,13578972796396584625"
Discontinuity and Continuity between the Present Creation and New Creation,,2014,"Theology and Science 12 (1), 81-89, 2014",1,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=793124332019863101
The Neural Basis of Consciousness and the Issue of Downward Causation,,2013,"Brains Top Down: Is Top-Down Causation Challenging Neuroscience?, 89-101, 2013",1,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14338055707384325691
The role of sensorimotor experience and embodiment in education: Evidence from neuroscience and a historical perspective,,2026,"RIFL - Rivista Italiana di Filosofia del Linguaggio 2025 (2), 187-212, 2026",0,
Novel “problems”: how human cultural evolution proceeded via creative recombination and repurposing,,2026,"Amazing Novelties, 10, 2026",0,
Cognizione animale e intelligenza umana: dai pesci ai primati,,2024,"Origins. Le grandi domande su cosmo, vita e intelligenza nella scienza …, 2024",0,
"Origins. Le grandi domande su cosmo vita e intelligenza nella scienza, nella filosofia e nelle culture",,2024,"https://www.edizionisantacroce.it/catalogo/teologia/collane-e-raccolte/sisri …, 2024",0,
"Giuseppe Tanzella-Nitti, Scientist and Theologian: A Bibliography 1980-2024, Briefly Commented by the Guest Editors",,2024,"Annales theologici 38 (2), 667-682, 2024",0,
"Theology, the Sciences and the Human Quest for Interdisciplinarity: Introduction: Essays in Honor of Giuseppe Tanzella-Nitti",,2024,"Annales theologici 38 (2), 347-356, 2024",0,
Grasping abstract notions via embodied language in Mark's Gospel,,2023,"Rivista Italiana di Filosofia del Linguaggio 17 (1), 2023",0,
"Creativity: Artificial, Animal and Human Intelligence: Presentation",,2023,"Acta Philosophica 32 (1), 11-16, 2023",0,
La verità scientifica in prospettiva interattiva e diacronica,,2023,"Dove abita la verità? Riflessioni sul vero e sul falso nell'epoca …, 2023",0,
Human-Environment Relationships: Culture and Pedagogy,,2022,"Scholarly Community Encyclopedia, 2022",0,
Allargare gli orizzonti del pensiero. Scommettere sulla cultura tra specializzazione e interdisciplinarità,,2020,"978-88-9314-255-7, 2020",0,
Dalla pedagogia ecologica all'ecologia pedagogica,,2020,"Educatio Catholica 6 (3), 153-162, 2020",0,
Verso una rete internazionale per l'ecologia integrale. Tavoli di confronto interdisciplinare e Seminari di Ricerca,,2020,"Antonianum, 295-298, 2020",0,
Corso di formacione per i leaders dk Talitha Kum (28 gennaio-8 febbraio 2019).,,2019,"Antonianum, 493-496, 2019",0,
Inclusività e integralità a partire da Francesco e dalla laudato si: spunti programmatici dalla Pontificia Università Antonianum,,2017,"Antonianum, 389-438, 2017",0,
La scienza odierna verso l’uomo situato e pluridimensionale,,2016,"Francescanesimo e mondo attuale, 101-113, 2016",0,
Article Reviews,,2016,"ESSSAT News & Reviews 26 (2), 5-18, 2016",0,
Le ragioni di un percorso.,,2016,"Ricerche teologiche: a cura della Società Italiana per la Ricerca Teologica …, 2016",0,
What Is Specific about Humans?,,2015,"Zygon 50 (4), 2015",0,
"Introduzione. Temi di antropologia tra scienza, filosofia e teología.",,2015,"Antonianum, 699-705, 2015",0,
A Response to Russell's Response,,2014,"Theology and Science 12 (2), 178-179, 2014",0,
Top-Down Causation in Cognitive Science?,,2013,"Brains Top Down: Is Top-down Causation Challenging Neuroscience?, 349, 2013",0,
Overall Discussion,,2013,"Brains Top Down: Is Top-Down Causation Challenging Neuroscience?, 297-337, 2013",0,
Realismo scientifico e realismo empirico: è possibile discriminare sperimentalmente nel caso della meccanica quantistica?,,2009,,0,
Teologia e scienza: quale dialogo?,,2008,"HERMENEUTICA, 301-323, 2008",0,
"Verso una rete internazionale per l'ecologia integrale: Tavoli di confronto interdisciplinare e Seminari di Ricerca, Taranto-Roma 2016-2019",,,"Antonianum 95 (1), 295-298, 0",0,
Introduzione generale,,,"Allargare gli orizzonti del pensiero: scommettere sulla cultura tra …, 0",0,
Introductory Essay on Towards a Theology of Nature: Essays on Science and Faith by Wolfarth Pannenberg Wolfhart Pannenberg’s Toward a Theology of Nature (edited by Ted Peters …,,,,0,
